%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
70.0, -69155.82795808649, -11658.245224743512, -8294.844126086728, -26593.54675931296, -73118.09934593432, -70047.34963743087, -74648.366826578, -74509.47308653273, -73582.59094746005, -76533.64706440533, -7968.262787850236, -7660.523970189568, -73493.87687371694, -71870.1120460167, -60597.61322708288, -29918.30169180652, -0.037125000000000005, 0.893125, -0.5135000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762646637E9, 0.0, 2026-01-31 14:52:42.646
72.0, -69212.91431342534, -11799.217677023134, -8287.892733561128, -26666.83812938191, -73009.80514404835, -70123.83730695694, -74526.3933570854, -74527.6450547749, -73501.38705985392, -76451.83967969891, -7984.490154324789, -7735.514072837123, -73415.06462276753, -71995.81825683336, -60513.97299933112, -29970.962401743225, -0.037125000000000005, 0.893125, -0.5135000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762654627E9, 0.0, 2026-01-31 14:52:42.654
74.0, -69292.62063415298, -12027.47369140073, -8276.023957255358, -26753.182918212762, -72862.37303762115, -70218.69811042525, -74372.45689302169, -74544.38651137192, -73357.53123253956, -76302.73119243755, -8022.4434164099, -7846.445780568813, -73268.01249599607, -72167.56906122793, -60440.905146706726, -30040.65514095487, -0.037125000000000005, 0.893125, -0.5135000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762664799E9, 0.0, 2026-01-31 14:52:42.664
76.0, -69350.91398369242, -12240.284650359708, -8261.294157659311, -26827.79304120458, -72724.37336735408, -70334.79307112611, -74231.97617912009, -74537.90450547988, -73238.77641424852, -76181.24946132296, -8063.995309352316, -7966.988738416284, -73143.89325903574, -72330.13329865137, -60371.1006487728, -30124.787107084645, -0.037125000000000005, 0.893125, -0.5135000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762671764E9, 0.0, 2026-01-31 14:52:42.671
78.0, -69421.38903395999, -12513.266505392374, -8235.947279446993, -26889.059172756573, -72565.00542938775, -70464.99198257829, -74102.76074442395, -74491.50228399066, -73068.63493545473, -76009.05162203927, -8094.907771934006, -8101.546240037232, -72973.23769011948, -72514.7140043633, -60317.41175859115, -30224.140611188486, -0.05456250000000001, 0.9115625, -0.50075, 192.0, 126.5, 96.0, 14.5, 8.0, 120.0, 96.0, 0.0, 0.0, 0.0, 1.769892762678727E9, 0.0, 2026-01-31 14:52:42.678
80.0, -69458.26941231125, -12706.60909493078, -8224.659648497063, -26939.149432080918, -72467.14949216241, -70589.82647536117, -74015.63364453717, -74365.48314875163, -72958.48553877897, -75897.85169337412, -8095.131289378559, -8201.704406941462, -72855.68986602902, -72706.73784097885, -60258.24669101795, -30327.8080019722, -0.05456250000000001, 0.9115625, -0.50075, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762685799E9, 0.0, 2026-01-31 14:52:42.685
82.0, -69533.75125333683, -12954.601699662411, -8228.3923898211, -27020.241560964772, -72316.45403104473, -70737.90678237758, -73935.01090228689, -74192.52535015647, -72821.33523480121, -75759.31558124014, -8111.313952364201, -8291.49136441843, -72722.65228303103, -72913.15620102361, -60220.606353355215, -30433.196477078975, -0.05456250000000001, 0.9115625, -0.50075, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762693752E9, 0.0, 2026-01-31 14:52:42.693
84.0, -69588.04364061877, -13152.146417158416, -8236.506073058375, -27124.04306221522, -72159.2318605461, -70891.53032201891, -73873.52125329032, -74026.74246153147, -72679.89339588802, -75619.72893711674, -8133.889214264062, -8383.826420763306, -72578.70704873884, -73118.09934593432, -60181.1555243916, -30527.967873569476, -0.05456250000000001, 0.9115625, -0.50075, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762701833E9, 0.0, 2026-01-31 14:52:42.701
86.0, -69664.91128980057, -13439.858071787128, -8279.577884623754, -27241.367368861123, -71903.99729061095, -71072.78061780699, -73831.41056673654, -73946.32088498127, -72458.87934671395, -75397.19496931971, -8181.297264253768, -8500.211954142089, -72371.70754333826, -73328.31750253648, -60180.03793716883, -30635.189191721583, -0.05456250000000001, 0.9115625, -0.50075, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762709843E9, 0.0, 2026-01-31 14:52:42.709
88.0, -69702.7974966523, -13669.99163269897, -8330.092827092747, -27317.45270698699, -71688.88410197308, -71231.43329995076, -73813.93150257248, -73918.22474220094, -72226.8458875234, -75164.0886263953, -8222.96091591846, -8619.458510811151, -72133.14737476676, -73537.88745854943, -60176.90869294509, -30752.200573945116, -0.05456250000000001, 0.9115625, -0.50075, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762718886E9, 0.0, 2026-01-31 14:52:42.718
90.0, -69766.1646921831, -13965.414639164763, -8390.978978989004, -27382.161007185103, -71433.42601459337, -71385.83915064803, -73811.04812753775, -73890.32976512072, -71986.02819276192, -74918.88998972058, -8301.706111634507, -8724.377599284364, -71902.20915105453, -73726.08914686313, -60194.14188792013, -30862.908764232252, -0.112, 0.92, -0.47600000000000003, 192.0, 126.0, 64.0, 14.0, 96.0, 120.5, 16.0, 0.0, 0.0, 0.0, 1.769892762724885E9, 0.0, 2026-01-31 14:52:42.724
92.0, -69817.17137303011, -14198.878610000445, -8435.615412666251, -27426.462164695524, -71246.67718966928, -71518.87673364602, -73833.9810173489, -73828.59424693516, -71770.60207970168, -74703.30741444915, -8370.862408979227, -8816.310324229042, -71680.88217745807, -73912.56975085376, -60194.36540536468, -30952.807480431497, -0.112, 0.92, -0.47600000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762734928E9, 0.0, 2026-01-31 14:52:42.734
